numero,code,nom_commercial,groupe_therapeutique,prix_fcfa
1794,2299718,GLYSET CP 2 MG B/30,SULFAMIDE ANTIDIABETIQUE,4755.0
1795,2299724,GLYSET CP 3 MG B/30,SULFAMIDE ANTIDIABETIQUE,6810.0
1796,2299730,GLYSET CP 4 MG B/30,SULFAMIDE ANTIDIABETIQUE,8705.0
1797,2033274,GLYSS ADSUPPO B/10,"GASTRO.E.H., CONSTIPATION",1157.0
1798,2033280,GLYSSNRSSUPPO B/10,"GASTRO.E.H., CONSTIPATION",950.0
1799,3045687,GOMENOL SOL P INHAL B/5 AMP,"ORL, DECONGESTIONNANTS",2620.0
1800,8403157,GRAMOCEF-O GELULE 200MG B/10,"ANTIBIOTIQUE, CEFALOSPORINE",3350.0
1801,8008254,GRAMOCEF-O SUSP BUV 100MG/5ML FL/100ML,"ANTIBIOTIQUE, CEPHALOSPORINE",9445.0
1802,3323281,GRANI DENK 1MG/ML SOL INJ AMP/1ML B/5,"CANCEROLOGIE, TRAITEMENTS ASSOCIES",19170.0
1803,8182087,GRANISETRON OMEGA SOLUTION INJECTABLE 1MG/1ML IV DETAIL,"CANCEROLOGIE, TRAITEMENTS ASSOCIES",3873.0
1804,3568415,GRIPAL SIROP FL/150 ML,"ORL,ANTI-GRIPPE,ANTI-RHUME",1110.0
1805,1304481,GRIPARCPB/10,"ORL, RHUME ET GRIPPE",951.0
1806,3195932,GRIPEX PDRE P SUSP BUV SACHET B/10,"ORL,ANTI-GRIPPE,ANTI-RHUME",2700.0
1807,8409289,GRIPLYSE COMP B/20,"ORR, RHUME ET GRIPPE",1800.0
1808,8409290,GRIPLYSE SIROP FL/100ML,"ORR, RHUME ET GRIPPE",1750.0
1809,3998755,GRIPMAX COMP B/10,"ORR, RHUME ET GRIPPE",1228.0
1810,3046445,GRISEFULINE CP 250 MG B/30,ANTIFONGIQUE SYSTEMIQUE,2610.0
1811,3253595,GRISEOFULVINE CIPHARM CP 250 MG PLAQUETTE DE 10,ANTIFONGIQUE SYSTEMIQUE,674.0
1812,3253557,GRISEOFULVINE CIPHARM CP 500 MG PLAQUETTE DE 10,ANTIFONGIQUE SYSTEMIQUE,855.0
1813,8031483,GRISEOPHARM CP 125 MG B/30,ANTIFONGIQUE SYSTEMIQUE,1132.0
1814,2035965,GRISEOPHARM CP 250 MG B/30,ANTIFONGIQUE SYSTEMIQUE,2070.0
1815,2035971,GRISEOPHARM CP 500 MG B/20,ANTIFONGIQUE SYSTEMIQUE,2235.0
1816,8467588,GUAMEN SIROP 200 ML,"PNEUMOLOGIE, ANTITUSSIF",4956.0
1817,3263020,GUNCIPRO FORTE CP B/10,ANTIBIOTIQUE ET ANTIPARASITAIRE,3475.0
1818,3343876,GVIA CP 100 MG B/28,AUTRES ANTIDIABETIQUES,14730.0
1819,3343852,GVIA-M COMPRIMES PELLICULES 50/500MG B/60,AUTRES ANTIDIABETIQUES,11795.0
1820,3393876,GVIA-M COMPRIMES PELLICULES 50MG/1000MG B/60,AUTRES ANTIDIABETIQUES,16836.0
1821,2471506,GYFLORINE OVULE B/6,"GYNECOLOGIE, TRAITEMENT DES VULVO- VAGINIQUES",4440.0
1822,8396606,GYNANFORT OVULE B/10,"GYNECOLOGIE, TRAITEMENT ANTIFONGIQUE DES VULVO-VAGINITES",2995.0
1823,3590840,GYNOCARE OVULE B/6,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,2495.0
1824,2471507,GYNOFAST OVULE B/3,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,2535.0
1825,2471866,GYNOFER SIROP FL/200 ML,"HEMATOLOGIE, ANTI-ANEMIQUE",3031.0
1826,8305616,GYNOMAX OVULE B/12,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,6230.0
1827,2291906,GYNOMAX OVULE B/6,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,3391.0
1828,3301682,GYNOMYK OVULE 100 MG B/3,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,3780.0
1829,3202276,GYNOPEVARYL OVULE 150MG B/3,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,4064.0
1830,3302411,GYNOPEVARYL OVULE LP 150 MG B/l,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,3955.0
1831,7785027,GYNOPHILUS CP VAGINAL AD B/l 4,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,5262.0
1832,3046959,GYNOPLIX 500 OVULE 500 MG B/l 0,GYNECOLOGIEJRAITEMENT DES VULVOVAGINITES,2415.0
1833,8003452,GYNOSPAN CP ENR B/30,ANTISPASMODIQUE,1525.0
1834,3411513,GYNOSPAN SOL INJ 40 MG B/6,ANTISPASMODIQUE,2715.0
1835,8011718,GYNOSPAN SUPPO B/l 0,ANTISPASMODIQUE,2066.0
1836,4031753,HAEM UP GELULE B/30,"HEMATOLOGIE, ANTIANEMIQUES",1297.0
1837,8018979,HAEM UP SIROP FL/200ML,"HEMATOLOGIE, ANTIANEMIQUES",3265.0
1838,3047189,HALDOL AMP INJ 5 MG B/5,"PSYCHIATRIE, NEUROLEPTIQUES",1311.0
1839,3208250,HALDOL CP 5 MG B/30,"PSYCHIATRIE, NEUROLEPTIQUES",2716.0
1840,3269932,HALDOL DECANOAS AMP INJ 50 MG B/l,"PSYCHIATRIE, NEUROLEPTIQUES",3818.0
1841,3263510,HALDOL DECANOAS AMP INJ 50 MG B/5,"PSYCHIATRIE, NEUROLEPTIQUES",17130.0
1842,3047172,"HALDOL SOL BUV 0,2% FL/15 ML","PSYCHIATRIE, NEUROLEPTIQUES",970.0
1843,8179665,HALIBUT POMMADE TUBE 100G,"DERMATOLOGIE, TOPIQUE A ACTIVITE PROTECTRICE",2755.0
1844,1204295,HBPLUS IV SOL INJ,"HEMATOLOGIE,ANTIANEMIQUE",10000.0
1845,8451096,HB PLUS SIROP FL/150ML,"HEMATOLOGIE, ANTIANEMIQUES",4505.0
1846,7340735,HEAMOCARE CP B/30,"HEMATOLOGIE, ANTI-ANEMIQUES",2508.0
1847,3047657,HEUCIDINE SIROP 10% FL/125 ML,"PNEUMOLOGIE, ANTITUSSIF NON OPIACE NON ANTIHISTAMINIQUE",2108.0
1848,3403164,HELICIDINE SIROP 10% FL/250 ML,"PNEUMOLOGIE, ANTITUSSIF NON OPIACE NON ANTIHISTAMINIQUE",3570.0
1849,3259528,HELICOBAN CAPSULES MOLLES B/42,"GASTRO.E.H., ULCERE GASTRODUODENAL",13630.0
1850,3305622,HELMINTOX SUSP BUV 5% FL/15 ML,"PARASITOLOGIE, ANTHELMINTIQUE",1420.0
1851,8057459,HEMAFER SIROP 50MG/5ML FL/125ML,"HEMATOLOGIE, ANTIANEMIQUES",3306.0
1852,50001047,HEMAFER CP EFF B/12,"HEMATOLOGIE, ANTI-ANEMIQUE",4545.0
1853,5000111,HEMAFER FOL CP EFF B/12,"HEMATOLOGIE, ANTIANEMIQUES",4546.0
1854,5000098,HEMAFER IM INJ B/5,"HEMATOLOGIE, ANTI-ANEMIQUE",16530.0
1855,9999279,HEMASTIM SOL INJ SC/IV 4000 Ul SERINGUE PRE-REMPLIE,"HEMATOLOGIE, ANTIANEMIQUES",17373.0
1856,3991831,HEMASTIM SOL INJ SC/IV 10.000 Ul SERINGUE PRE-REMPLIE,"HEMATOLOGIE, ANTIANEMIQUES",34565.0
1857,9999278,HEMASTIM SOL INJ SC/IV 2000 Ul SERINGUE PRE-REMPLIE,"HEMATOLOGIE, ANTIANEMIQUES",11740.0
1858,3506085,HEMAX 10000UI/ML LYOPH SOL INJ SER PRER/1,"HEMATOLOGIE, ANTIANEMIQUES",61200.0
1859,3506073,HEMAX 2000UI/ML LYOPH SOL INJSER PRER/1,"HEMATOLOGIE, ANTIANEMIQUES",7825.0
1860,3506080,HEMAX PDRE POUR PREPAR INJ 40MG + FLACON DE SOLVANT,"HEMATOLOGIE, ANTIANEMIQUES",15440.0
1861,9999773,HEMBRAN SIROP FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",2965.0
1862,3163337,HEMOFER SOL BUV FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",2000.0
1863,4049919,HEMOREX SUPPO B/10,"GASTRO.E.H., MEDICAMENT DE PROCTOLOGIE",2235.0
1864,3048384,HEPARGITOL PDRE P SUSP BUV B/20 SACH,"GASTRO.E.H., CONSTIPATION",2686.0
1865,3457698,HEPCINAT 400 CP PELL B/28,"GASTRO.E.H., HEPATITES VIRALES CHRONIQUES",400000.0
1866,5621037,HERCEPTIN PDRE POUR SOLUTION A DILUER POUR PERFUSION 600 MG B/l,"CANCEROLOGIE, ANTINEOPLASIQUE",482190.0
1867,8007823,HERPERAXPDE T/5 G,ANTIVIRAUX,5315.0
1868,3230396,HEXABRIX 320 SOL INJ FL/10 ML,OPACIFICATION DES VOIES URINAIRES ET DES VAISSEAUX,24835.0
1869,3272615,HEXAPNEUMINE SIROP AD FL/200 ML,"PNEUMOLOGIE, ANTITUSSIF OPIACE ANTIHISTAMINIQUE",2260.0
1870,3272621,HEXAPNEUMINE SIROP ENF FL/200 ML,"PNEUMOLOGIE, ANTITUSSIF OPIACE ANTIHISTAMINIQUE",1795.0
1871,3283325,HEXIDINE BAIN DE BOUCHE FL/160ML,"STOMATOLOGIE,BAIN DE BOUCHE,GARGARISME ET GELS",2145.0
1872,3283332,HEXIGELGEL 1%TUBE/15G,"STOMATOLOGIE,BAIN DE BOUCHE,GARGARISME ET GELS",1300.0
1873,3049538,HEXOMEDINE SOL P APPL LOC 1% FL/250 ML,"DERMATOLOGIE, ANTISEPTIQUE LOCAL",3306.0
1874,3049604,HEXTRIL SOL P BAIN BOUCHE 0,"STOMATOLOGIE,BAIN DE BOUCHE,GARGARISME ET GELS",2095.0
1875,8550088,Hl CORT PDRE P P INJ 100 MG B/l,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),2558.0
1876,3176142,HICONCIL PDRE P SUSP BUV 125 MG/5 ML FL/60 ML,"ANTIBIOTIQUE, PENICILLINE",1160.0
1877,3176159,HICONCIL PDRE P SUSP BUV 250 MG/5 ML FL/60 ML,"ANTIBIOTIQUE, PENICILLINE",1560.0
1878,3202661,HICONCIL PDRE P SUSP BUV 500 MG/5 ML FL/60 ML,"ANTIBIOTIQUE, PENICILLINE",2635.0
1879,2264571,HIPOTENSIL CP 25 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR DE L'ENZYME DE CONVERSION",3265.0
1880,2264588,HIPOTENSIL CP 50 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR DE L'ENZYME DE CONVERSION",4990.0
1881,8077019,HIPRIL - 10 CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR DE L'ENZYME DE CONVERSION",10955.0
1882,8088483,HIPRIL-ACP B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,11285.0
1883,5612080,HIPRIL-5 CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR DE L'ENZYME DE CONVERSION",8955.0
1884,9001509,HISTADIUS CP PELL 5 MG B/10,"ALLERGOLOGIE,ANTIHISTAMINIQUE",2788.0
1885,3992579,HOVIMAX CP 250 MG B/6,"ANTIBIOTIQUE, MACROLIDE",4165.0
1886,3447463,HUMEX RHUME CP ET GELULE B/l 2 CP & 4 GELULE,"ORL,ANTI-GRIPPE,ANTI-RHUME",2205.0
1887,3129473,HUMEX SIROP AD FL/250 ML,"PNEUMOLOGIE, ANTITUSSIF CONTENANT UN OPIACE",2940.0
1888,3051015,HUMEX SIROP ENF FL/125 ML,"PNEUMOLOGIE, ANTITUSSIF CONTENANT UN OPIACE",2310.0
1889,3335988,HUMEXUB 500MG/4MG GELULE B/l 6,"ORL,ANTI-GRIPPE,ANTI-RHUME",2315.0
1890,2280417,HUMEXUB PDRE P SOL BUV EN SACH B/8,"ORL,ANTI-GRIPPE,ANTI-RHUME",3225.0
1891,3051268,HYDREA GELULE 500 MG B/20,"CANCEROLOGIE, ANTINEOPLASIQUE",6725.0
1892,3051564,HYDROCORTANCYL SUSP INJ 25 MG B/l,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),6306.0
1893,3051417,HYDROCORTISONE CP 10 MG B/25,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),3043.0
1894,3294692,HYPERIUM CP 1 MG B/30,ANTIHYPERTENSEUR D'ACTION CENTRALE,11110.0
1895,9073101,HYPOTEN CP 50 MG B/30,"ANTIHYPERTENSEUR, BÊTABLOQUANT",3420.0
1896,9829731,HYQUIN CP PELL 200 MG B/30,"RHUMATOLOGIE,TTT DE FOND DES RHUMATISMES INFLAMMATOIRES",3885.0
1897,3555678,HYTACAND CP 16/12.5MG B/28,ANTIHYPERTENSEUR ANTAGONISTE RECEPTEURS ANGIOTENSINE II + DIURETIQUE,22480.0
1898,3539113,HYTACAND CP 8/12.5MG B/28,ANTIHYPERTENSEUR ANTAGONISTE RECEPTEURS ANGIOTENSINE II + DIURETIQUE,16367.0
1899,3385207,HYZAAR CP 50/12.5MG B/28,ANTIHYPERTENSEUR ANTAGONISTE RECEPTEURS ANGIOTENSINE II + DIURETIQUE,6745.0
1900,8143029,IASAQ ADULTE CP 100 MG/ 270 MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",2645.0
1901,8143035,IASAQ JUNIOR CP 100 MG/270 MG B/3,"PARASITOLOGIE, ANTIPALUDIQUE",2175.0
1902,8143041,"IASAQ PETIT ENFANT CP 25 MG/67,5 MG B/3","PARASITOLOGIE, ANTIPALUDIQUE",925.0
1903,8049052,IBEX GELULE 200MG/235/30MG,ANTALGIQUE/ANTIPYRETIQUE + AINS,1201.0
1904,8064610,IBUDOL SIROP FL/100ML,ANTALGIQUE/ANTIPYRETIQUE + AINS,1160.0
1905,5614020,IBUMOL CP 400/325MG B/30,ANTALGIQUE/ANTIPYRETIQUE + AINS,3185.0
1906,2291912,IBUMOLCP B/10,ANTALGIQUE/ANTIPYRETIQUE + AINS,1080.0
1907,8002872,IBUMOL SIROP FL/60ML,ANTALGIQUE/ANTIPYRETIQUE + AINS,805.0
1908,6140887,IBUPHIL GEL 5% TUBE DE 50G,ANTI-INFLAMMATOIRE (AINS),2400.0
1909,3271513,IBUPROFEN DENK CP PELL 600MG B/20,ANTI-INFLAMMATOIRE (AINS),2686.0
1910,1448791,IBUPROFEN VIR COMP PELL 600MG B/20,ANTI-INFLAMMATOIRE (AINS),2000.0
1911,3383589,IBUPROFENE BIOGARAN CONSEIL CP PELL 400 MG B/20,ANTI-INFLAMMATOIRE (AINS),1090.0
1912,3376563,IBUPROFENE BIOGARAN CP PELL 400 MG B/20,ANTI-INFLAMMATOIRE (AINS),1190.0
1913,3289525,IBUPROFENE-GH CP 400 MG PLAQUETTE DE 10,ANTI-INFLAMMATOIRE (AINS),118.0
1914,3289501,IBUPROFEN-GH SUSP BUV 100MG/5ML FL/200ML,ANTI-INFLAMMATOIRE (AINS),1570.0
1915,8084511,IBUTAMOL COMPRIMES PELLICULES 400MG/325MG B/20,ANTALGIQUE/ANTIPYRETIQUE + AINS,1985.0
1916,3355374,IBUXSUSP BUV FL/150ML,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2070.0
1917,3334108,ICAZ LP 2.5MG GELULE B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",9660.0
1918,3333393,ICAZ LP 5MG GELULE B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",16795.0
1919,8508212,ICLOF GEL P APPL LOC T/30 G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),937.0
1920,8716583,IDUMOL GELULES B/20,ANTALGIQUE/ANTIPYRETIQUE + AINS,5495.0
1921,3216958,ILAX SACHET 10G B/20,"GASTRO.E.H., CONSTIPATION",2522.0
1922,3216996,ILAX SACHET 4G B/20,"GASTRO.E.H., CONSTIPATION",1515.0
1923,8074564,IMMARD CP 200 MG B/30,"RHUMATOLOGIE,TTT DE FOND DES RHUMATISMES INFLAMMATOIRES",5335.0
1924,3188607,IMODIUM GELULE 2 MG B/20,"GASTRO.E.H., ANTI- DIARRHEIQUE",2730.0
1925,3274206,"IMOVANE CP 7,5 MG B/20","PSYCHIATRIE, HYPNOTIQUES",5160.0
1926,8049684,IMOX GELULE 500 MG B/20,"ANTIBIOTIQUE, PENICILLINE",1986.0
1927,8049678,IMOX PDRE P SUSP BUV 250 MG/5 ML FL/60 ML,"ANTIBIOTIQUE, PENICILLINE",1685.0
1928,8152554,IMUCLAV CP 1 G/l 25MG B/l 2,"ANTIBIOTIQUE, PENICILLINE",6230.0
1929,8426945,IMUCLAV INJ 1G/200 MG B/l,"ANTIBIOTIQUE, PENICILLINE",2440.0
1930,3641490,IMUREL CP 50MG B/l 00,IMMUNOSUPPRESSEURS,26201.0
1931,3322918,INDAPAMIDE GP CP 2.5MG B/60,"ANTIHYPERTENSEUR, DIURETIQUE",3995.0
1932,3689987,"INDAPRIL CP 2,5MG/10MG B/30",AUTRES ASSOCIATIONS D’ANTIHYPERTENSEURS,14463.0
1933,3440438,INDOFER GELULE B/30,"HEMATOLOGIE, ANTIANEMIQUES",2617.0
1934,3440421,INDOFER SIROP FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",2650.0
1935,3574324,INDOFIX CP 100 MG B/10,"ANTIBIOTIQUE, CEPHALOSPORINE",3860.0
1936,2472866,INDOFIX CP 200 MG B/10,"ANTIBIOTIQUE, CEPHALOSPORINE",5650.0
1937,8031661,INDOSOL CY FL/5 ML,"OPHTALMOLOGIE, ANTI- INFLAMMATOIRES LOCAUX",1010.0
1938,0164709,INDOZONE INJ 1 G B/l,"ANTIBIOTIQUE, CEPHALOSPORINE",2570.0
1939,0164747,INDOZONE-S INJ 1000MG/500MG B/l,ASSOCIATION D'ANTIBIOTIQUES,4040.0
1940,3553337,INEXIUM CP GASTRO - RESISTANT 20 MG B/14,"GASTRO.E.H., ULCERE GASTRODUODENAL",7015.0
1941,3553389,INEXIUM CP GASTRO - RESISTANT 40 MG B/14,"GASTRO.E.H., ULCERE GASTRODUODENAL",7840.0
1942,8066984,INFLACAM CP DISP 20MG B/10,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2690.0
1943,6000663,INIBREX GELULE 200 MG B/10,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),5280.0
1944,3344453,INICOX GELULE 100 MG B/30,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),7385.0
1945,3344491,INICOX GELULE 200 MG B/20,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),8820.0
1946,3023006,INIGAST CP PELL 20MG B/30,"GASTRO.E.H., ULCERE GASTRODUODENAL",7675.0
1947,3052948,INONGAN CREME T/55 G,"RHUMATOLOGIE, DOULEURS D'ORIGINE MUSCULAIRE",5940.0
1948,3345481,INOSERP PANAFRICAIN SERUM ANTIVENIMEUX 5,"INFECTIOLOGIE, VACCINS ET SERUMS",51865.0
1949,3992562,INOX GELULES 100MG PLAQUTTE DE 4,ANTIFONGIQUE SYSTEMIQUE,906.0
1950,8078958,INSTACLOP CP 75MG B/30,"HEMOSTASE, ANTIAGREGANTS PLAQUETTAIRES",10330.0
1951,3511084,INSTACLOP PLUS CP B/30,"HEMOSTASE, ANTIAGREGANT PLAQUETTAIRE",10000.0
1952,4025669,INSULATARD HM 100UI SOL INJ 100 UI/ML FL/10 ML,ANTIDIABETIQUES ( INSULINES),7610.0
1953,5015729,INSULATARD HM 100UI SOL INJ 100UI/ML FL/3ML PENFILL,ANTIDIABETIQUES ( INSULINES),27750.0
1954,8061389,INSULET MIX 30 SOL INJ 100 UI/ML FL/10 ML,ANTIDIABETIQUES ( INSULINES),6780.0
1955,8061426,INSULET NPH SOL INJ 100 UI/ML FL/10 ML,ANTIDIABETIQUES ( INSULINES),6780.0
1956,8055851,INSULET RAPIDE SOL INJ 100 UI/ML FL/10 ML,ANTIDIABETIQUES ( INSULINES),6780.0
1957,3179352,INTERCEF CP 100 MG B/10,"ANTIBIOTIQUE, CEPHALOSPORINE",1533.0
1958,3344958,INTERCEF CP 200 MG B/10,"ANTIBIOTIQUE, CEPHALOSPORINE",3666.0
1959,3179345,INTERCEF CP 200MG B/4,"ANTIBIOTIQUE, CEPHALOSPORINE",1270.0
1960,3179338,INTERCEF PDRE P SUSP BUV FL/30 ML,"ANTIBIOTIQUE, CEPHALOSPORINE",1685.0
1961,8067654,INTERFLOX CP 500 MG B/l 2,"ANTIBIOTIQUE, QUINOLONE",3474.0
1962,3053534,INTETRIX GELULE B/20,ANTIBIOTIQUE ET ANTIPARASITAIRE,2785.0
1963,8124836,IOPROST CY 0.005% FL/3ML,"OPHTALMOLOGIE, ANTIGLAUCOMATEUX",13200.0
1964,8003246,IPEPRAZOLE CP 20 MG B/l 4,"GASTRO.E.H., ULCERE GASTRODUODENAL",1820.0
1965,8024419,IPOZOLE CP 20 MG B/30,"GASTRO.E.H., ULCERE GASTRODUODENAL",5540.0
1966,6190547,IPP GELULE 20 MG B/14,"GASTRO.E.H., ULCERE GASTRODUODENAL",3060.0
1967,6191049,IPP GELULE 20MG B/28,"GASTRO.E.H., ULCERE GASTRODUODENAL",4851.0
1968,3069073,IPPROTON PDRE POUR PERF IV 40MG DETAIL,"GASTRO.E.H., ULCERE GASTRODUODENAL",4797.0
1969,8147263,IPPZOR CP 15MG B/l 5,"GASTRO.E.H., ULCERE GASTRODUODENAL",2813.0
1970,8147286,IPPZORCP 30 MG B/l 4,"GASTRO.E.H., ULCERE GASTRODUODENAL",4880.0
1971,3244500,IPROFENEGEL 5% T/50G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2785.0
1972,3443447,IRBESARTAN BIOGARAN COMPRIMES PELLICULES 75MG B/30,"ANTIHYPERTENSEUR, ANTAGONISTE RECEPTEURS ANGIOTENSINE II",4550.0
1973,3445229,IRBESARTAN BIOGARAN CP 300 MG B/30,"ANTIHYPERTENSEUR, ANTAGONISTE RECEPTEURS ANGIOTENSINE II",4550.0
1974,3444277,IRBESARTAN BIOGARAN CP PELL 150MG B/30,"ANTIHYPERTENSEUR, ANTAGONISTE RECEPTEURS ANGIOTENSINE II",4550.0
1975,8026677,IREX-12 GELULE B/30,"HEMATOLOGIE, ANTIANEMIQUES",2050.0
1976,2269189,IREX-12 SIROP FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",2295.0
1977,3023600,IRYS CP 1 MG B/30,SULFAMIDE ANTIDIABETIQUE,3061.0
1978,8056431,IRYS CP 2 MG B/30,SULFAMIDE ANTIDIABETIQUE,4163.0
1979,8056508,IRYS CP 3 MG B/30,SULFAMIDE ANTIDIABETIQUE,5815.0
1980,8056572,IRYS CP 4 MG B/30,SULFAMIDE ANTIDIABETIQUE,5816.0
1981,3317525,ISCEPT 5MG/800MG CPR SEC B/30,AUTRES ANTIDIABETIQUES,6295.0
1982,3285049,ISOBAR CP B/30,"ANTIHYPERTENSEUR, DIURETIQUE",6340.0
1983,3284771,ISOFRA GTTES NASAL SOL P PULV NAS FL/15ML,"ORL, DECONGESTIONNANTS",1695.0
1984,8061427,ISOLONE CP EFF 20 MG B/20,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),3145.0
1985,8061390,ISOLONE CP EFF 5 MG B/30,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),1655.0
1986,3132386,ISOPTINE 120 GELULE 120 MG B/40,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",3740.0
1987,3054580,ISOPTINE 40 CP ENR 40 MG B/75,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",3497.0
1988,3286741,ISOPTINE LP CP LP 240 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",6017.0
1989,3207550,ITRA GELULE 100MG B/4,ANTIFONGIQUE SYSTEMIQUE,5485.0
1990,8003386,IVEFERAN AMP IN J 100 MG B/5,"HEMATOLOGIE, ANTIANEMIQUES",24825.0
1991,3545701,JALCER SUSP BUV FL/200 ML,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",2340.0
1992,3867811,JANUMET CP PELL 50MG/1000MG B/56,AUTRES ANTIDIABETIQUES,34470.0
1993,3867805,JANUMET CP PELL50MG/850MG B/56,AUTRES ANTIDIABETIQUES,34468.0
1994,3792504,JANUVIA CP 100 MG B/28,AUTRES ANTIDIABETIQUES,34468.0
1995,3230692,JOSACINE CP 500 MG B/20,"ANTIBIOTIQUE, MACROLIDE",12317.0
1996,3230628,JOSACINE PDRE P SUSP BUV 125 MG/5 ML FL/60 ML,"ANTIBIOTIQUE, MACROLIDE",3440.0
1997,3230700,JOSACINE PDRE P SUSP BUV 250 MG/5 ML FL/60 ML,"ANTIBIOTIQUE, MACROLIDE",5416.0
1998,3236016,JOSACINE PDRE P SUSP BUV 500 MG/5 ML FL/60 ML,"ANTIBIOTIQUE, MACROLIDE",7860.0
1999,8417679,JOYCLAVCP 1 G B/12,"ANTIBIOTIQUE, PENICILLINE",6850.0
2000,8417685,"JOYCLAV PDRE POUR SUSP BUV 250MG/31,25MG FL/60ML","ANTIBIOTIQUE, PENICILLINE",3710.0
2001,3321733,KALEORID CP ENR LP 600 MG B/6,COMPLEMENTS MINERAUX,1830.0
2002,3271872,KALFEN CP 400 MG PLAQUETTE DE 10,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),293.0
2003,3055496,KANEURON SOL GTTE BUV FL/30 ML,"NEUROLOGIE, ANTIEPILEPTIQUES",8295.0
2004,8013516,KAZOL CREMET/15G,"DERMATOLOGIE, ANTIFONGIQUE LOCAL",2095.0
2005,2278722,KEFOTAX PDRE P P INJ 1G B/l,"ANTIBIOTIQUE, CEPHALOSPORINE",3810.0
2006,2277740,KEFOTAX SOL INJ 500MG B/l,"ANTIBIOTIQUE, CEPHALOSPORINE",1920.0
2007,9221421,KEFPIME INJ 1G IM/IV B/l,"ANTIBIOTIQUE, CEPHALOSPORINE",4989.0
2008,3036570,KEFROX CP 250 MG B/10,"ANTIBIOTIQUE, CEPHALOSPORINE",4165.0
2009,3036532,KEFROX PDRE P SUSP BUV 125MG/5ML FL/50ML,"ANTIBIOTIQUE, CEPHALOSPORINE",2900.0
2010,8084568,KEOZOL CREME2%T/30G,"DERMATOLOGIE, ANTIFONGIQUE LOCAL",1365.0
2011,3254942,KERLONE CP ENR 20 MG B/28,"ANTIHYPERTENSEUR, BÊTABLOQUANT",13525.0
2012,8106034,KESTINECP 10 MG B/10,"ALLERGOLOGIE,ANTIHISTAMINIQUE",2510.0
2013,8106040,KESTINECP 20 MG B/10,"ALLERGOLOGIE,ANTIHISTAMINIQUE",4165.0
2014,8003297,KETAFLOX CP 200 MG B/10,"ANTIBIOTIQUE, QUINOLONE",2785.0
2015,8003305,KETAFLOX CP 400 MG B/10,"ANTIBIOTIQUE, QUINOLONE",4850.0
2016,8508293,KETECON CREME2%T/15G,"DERMATOLOGIE, ANTIFONGIQUE LOCAL",1080.0
2017,8508258,KETECON SHAMPOING 2% FL/75ML,"DERMATOLOGIE, ANTIFONGIQUE LOCAL",2083.0
2018,8079024,KETESSE SOLUTION INJECTABLE 50MG/2ML B/l,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1130.0
2019,8079030,KETESSE SOLUTION INJECTABLE 50MG/2ML B/5,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),4300.0
2020,3461724,KETESSE CP 25 MG B/20,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),4165.0
2021,3330666,KETODERM GEL EN RECIPIENT UNIDOSE 2% T/20 G,"DERMATOLOGIE, ANTIFONGIQUE LOCAL",5385.0
